,fft
167,-2.9489147677617407
168,-2.886459809964859
169,-2.833302678306964
170,-2.8290558697770694
171,-2.8705535220330693
172,-2.9176961544800246
173,-2.915973179325964
174,-2.8757493238215064
175,-2.836389477218143
176,-2.8107755164649273
177,-2.8065331007642684
178,-2.836121231028711
179,-2.8927132545345784
180,-2.9039753187864363
181,-2.82903420112092
182,-2.7586652938401235
183,-2.7465015718692434
184,-2.7942922426424905
185,-2.861663916577399
186,-2.865018182440033
187,-2.8084063759972198
188,-2.757683002799628
189,-2.728842524033923
190,-2.7231246869048986
191,-2.7538496572770317
192,-2.8239745431928664
193,-2.8520998934604926
194,-2.7558146665454655
195,-2.659823390265446
196,-2.637515117310308
197,-2.696141627438278
198,-2.79877042492465
199,-2.8085367255823455
200,-2.718087307861419
201,-2.64867506275574
202,-2.617766820688261
203,-2.6163005115742672
204,-2.6551381684941453
205,-2.746008586102332
206,-2.783342457115195
207,-2.6455603608031226
208,-2.5242348704596105
209,-2.4961570132341215
210,-2.571084589432964
211,-2.7293466115686917
212,-2.734852542849933
213,-2.5809957623070345
214,-2.492267755841554
215,-2.4667471511652184
216,-2.4782654064870386
217,-2.531139337732018
218,-2.647328227258134
219,-2.6751758277704067
220,-2.4727477887299503
221,-2.330235595127
222,-2.3035235925016906
223,-2.404422995799975
224,-2.6526266693975105
225,-2.5971870102630503
226,-2.3598630114521244
227,-2.259362530190166
228,-2.245098650665574
229,-2.2783775025704007
230,-2.3568363331249347
231,-2.5051740128305484
232,-2.449387556742444
233,-2.180587278419776
234,-2.028345889190032
235,-2.0045517801277715
236,-2.136798093456766
237,-2.570642073974906
238,-2.243252105173112
239,-1.9547996735371944
240,-1.8516042845477467
241,-1.8420921358280107
242,-1.882258648481629
243,-1.9701548573346495
244,-2.1368702287948422
245,-1.8457055248769383
246,-1.4785398791532145
247,-1.2444647673569917
248,-1.0981741820982152
249,-1.018103259537627
250,-0.32402944011873874
251,-1.0273125150351603
252,-1.11537296975857
253,-1.2625049434588795
254,-1.4698716846391189
255,-1.7344636680549659
256,-2.092757583454722
257,-2.291208575840521
258,-1.8976047106831362
259,-1.7265819753509115
260,-1.7020291233240032
261,-1.817035777863981
262,-2.159294792106842
263,-2.344599652035919
264,-1.9688953795990742
265,-1.8754921574067933
266,-1.9287296755070558
267,-2.109669093641138
268,-2.465380660555652
269,-3.1658005821898527
270,-2.434140821871736
271,-2.151700182590248
272,-2.0249367186845375
273,-2.022383322974924
274,-2.16316458198269
275,-2.4538920749604682
276,-2.2700569645334343
277,-2.0781717701891917
278,-2.050038466941342
279,-2.155865408658627
280,-2.424760624604394
281,-3.0899742249183504
282,-2.710609376724496
283,-2.4011786403887934
284,-2.2286526753057285
285,-2.1567507102900505
286,-2.1986431636522785
287,-2.366163653156405
288,-2.415776738609184
289,-2.212178860674364
290,-2.1162492951414094
291,-2.148493593331695
292,-2.3150716005335967
