,fft
391,-1.8066199014853626
392,-1.8055930487781928
393,-1.8486076728778165
394,-1.9222999251748354
395,-1.9601335175934371
396,-1.9217492180146278
397,-1.8493891583060753
398,-1.780744811286502
399,-1.7440049803552604
400,-1.7596496722807993
401,-1.8306761199846813
402,-1.9255752311001573
403,-1.9587095514648614
404,-1.8893494326306937
405,-1.7882954054491225
406,-1.716559816435229
407,-1.6989108535614719
408,-1.7396749309480737
409,-1.8254753767163858
410,-1.9108553260456627
411,-1.9112665651708196
412,-1.817420209105979
413,-1.7199903876709477
414,-1.6695230473883866
415,-1.673840221065032
416,-1.7226680713179185
417,-1.7952297060854405
418,-1.852553971989772
419,-1.8295956915584686
420,-1.7401534311834501
421,-1.664450954029365
422,-1.6324308305850188
423,-1.639238777253959
424,-1.6745688686478
425,-1.731009151979108
426,-1.7784832907281896
427,-1.7562170990897452
428,-1.6827208818974513
429,-1.620348367798473
430,-1.5870900734733648
431,-1.5841315890580954
432,-1.6166000575383028
433,-1.682171691249435
434,-1.7375466603412264
435,-1.714519755440376
436,-1.6388877877906862
437,-1.5693090500168083
438,-1.5300527772529162
439,-1.5333922799371253
440,-1.5843827939551898
441,-1.6673255697006764
442,-1.7172179061035202
443,-1.6694352541377835
444,-1.5770893071937861
445,-1.5055831565410458
446,-1.4796164601568031
447,-1.5048673654532188
448,-1.5744387356675624
449,-1.6565660666118092
450,-1.6734930562252808
451,-1.5951083881050143
452,-1.5029115343739101
453,-1.4501444214084596
454,-1.4469830634802425
455,-1.488200072126327
456,-1.560029366944457
457,-1.6235766330163421
458,-1.6049305396679774
459,-1.5177716414659363
460,-1.443455475501886
461,-1.4114495794288133
462,-1.4209099417999802
463,-1.4668314592478557
464,-1.5384178494071399
465,-1.5849576434668917
466,-1.5401352752095374
467,-1.4555013723942671
468,-1.395145679207217
469,-1.3731303917417228
470,-1.391376271839477
471,-1.450675218407317
472,-1.5296048028760312
473,-1.5486499774220364
474,-1.4761298788474537
475,-1.392011928642526
476,-1.3407003134909317
477,-1.3331352787493145
478,-1.3734718840902103
479,-1.4542403610219297
480,-1.5232479265702954
481,-1.4915617362011275
482,-1.3969354239507834
483,-1.3209856950499779
484,-1.2905222378734122
485,-1.3106410184373267
486,-1.3777747616131304
487,-1.465195908990726
488,-1.4866399264880024
489,-1.404420604960739
490,-1.3120801926132006
491,-1.2619980264687165
492,-1.2620840241814755
493,-1.3097810321153642
494,-1.3929488320002759
495,-1.455402734512
496,-1.4099804967959146
497,-1.313259075432708
498,-1.2462149863578966
499,-1.2262183141040564
500,-1.2529047685480101
501,-1.3230525193200886
502,-1.4071825470475756
503,-1.4096030087347142
504,-1.3205070486258754
505,-1.2378682354997517
506,-1.197748217812606
507,-1.205142373007967
508,-1.2619861834620922
509,-1.3536503240268136
510,-1.3969643314755171
511,-1.324301920437529
512,-1.2289307163691412
513,-1.1714834974917823
514,-1.1639339783637515
515,-1.209529942460021
516,-1.2990378516144039
517,-1.3681804191992732
518,-1.3206428900618785
519,-1.220752826690939
520,-1.1511291340709586
521,-1.1325284737581174
522,-1.168184748780857
523,-1.2514838313061583
524,-1.3351174601603328
525,-1.3136937280743306
526,-1.2142777641445146
527,-1.135713160227972
528,-1.1082736312431702
529,-1.1350787762757064
530,-1.211035599635111
531,-1.299859651864026
532,-1.2980540140266288
533,-1.2026126690055472
534,-1.1191115903301099
535,-1.0845463965986768
536,-1.1031858183620802
537,-1.1710883839884987
538,-1.2593261285178405
539,-1.2720474470305652
540,-1.185299929721061
541,-1.0994363506280367
542,-1.0590761623641236
543,-1.0713061033346878
544,-1.1350621508205991
545,-1.2253371648701212
546,-1.250072325986836
547,-1.1681344298388665
548,-1.0792014075925658
549,-1.035264515190875
550,-1.0463281993998663
551,-1.1108662817605435
552,-1.2034610982661291
553,-1.2299033821849843
554,-1.146105971851371
555,-1.0554925554817567
556,-1.012808634905575
557,-1.0264258699141995
558,-1.092326729843047
559,-1.182517749400034
560,-1.2018374203892106
561,-1.114576971554433
562,-1.026372178632702
563,-0.988426471037479
564,-1.0065684404706132
565,-1.0757980932304727
566,-1.165588927552145
567,-1.1749549912298
568,-1.082530096417056
569,-0.9992653634234576
570,-0.9686897190887827
571,-0.9946351520502879
572,-1.0717085051117956
573,-1.1620327315123469
574,-1.1510801691747852
575,-1.0509236962833264
576,-0.9746897335074941
577,-0.9547342177557981
578,-0.9928928046617963
579,-1.0825389310373437
580,-1.1647049795029163
581,-1.11795251589904
582,-1.0124037318922687
583,-0.9485105675122787
584,-0.9444272854312702
585,-1.0005198866990512
586,-1.1027052258653642
587,-1.1559860795922545
588,-1.070445507470682
589,-0.9710064852055145
590,-0.92663061228247
591,-0.9443276859990066
592,-1.0233255143475468
593,-1.1299662027670099
594,-1.1275055868153265
595,-1.016580471301226
596,-0.9351195854386499
597,-0.9160294368492241
598,-0.9618510482206982
599,-1.0663250390688344
600,-1.1481055960887887
601,-1.0728132980628882
602,-0.9629860107424358
603,-0.9095872443092119
604,-0.9225687637388236
605,-1.0027884520224866
606,-1.1196926854358433
607,-1.1204237033759143
608,-1.0026267560381812
609,-0.9182275941414171
610,-0.9009756774235506
611,-0.9541393439120807
612,-1.0698014733291836
613,-1.1421116660249906
614,-1.0452360773085179
615,-0.9362298431487741
616,-0.8923071274612897
617,-0.921777277304648
618,-1.0228509651148812
619,-1.1341108880738626
620,-1.0817709413825445
621,-0.960398188429839
622,-0.8947121148709813
623,-0.902719519635323
624,-0.9863165030137346
625,-1.111092961410349
626,-1.110681059282081
627,-0.987226696377733
628,-0.903041445891824
629,-0.8927904593881242
630,-0.9614659837706314
631,-1.0891064105240456
632,-1.128833604374244
633,-1.0095325831205373
634,-0.9112282312573992
635,-0.8889454832183457
636,-0.9473979329775926
637,-1.071797246582006
638,-1.133746693791371
639,-1.0229760860006942
640,-0.9177535276938826
641,-0.8882138940846896
642,-0.9400488483422121
643,-1.0609457736540286
644,-1.1367134718032037
645,-1.0317137608016744
646,-0.9218294578725281
647,-0.8897738496065053
648,-0.94089508190227
649,-1.0639777769516643
650,-1.142301558061494
651,-1.0323017466736168
652,-0.9220634436549079
653,-0.8940782500581814
654,-0.9507132485546349
655,-1.0767539060650384
656,-1.1402186385283453
657,-1.0201934179041945
658,-0.9147598440406575
659,-0.8938011882808325
660,-0.9594979930978801
661,-1.0934163670035724
662,-1.1343684712061548
663,-0.9965001849620427
664,-0.8999417016298594
665,-0.8961504401175329
666,-0.983263179161473
667,-1.1304445377178223
668,-1.1133985994002267
669,-0.9615855785898826
670,-0.8891242292371062
671,-0.9130089684563605
672,-1.0302686234996936
673,-1.1688196568396492
674,-1.0621506463046169
675,-0.923612534776584
676,-0.8845544002816974
677,-0.9439121942320161
678,-1.1013071063879427
679,-1.1613897760764043
680,-0.9911332212152814
681,-0.8920021497111703
682,-0.8969106312187317
683,-1.0115224373830167
684,-1.1873408178918066
685,-1.0844531508034747
686,-0.9299364049591363
687,-0.8845584024780024
688,-0.9524983870474668
689,-1.1398813206389753
690,-1.1792822019565044
691,-0.9855218281307894
692,-0.8923862559810403
693,-0.9200956332834193
694,-1.0785370190981274
