Frequency (Hz)	Level (dB)
6072.363281	-57.282673
6115.429688	-56.816174
6158.496094	-55.942158
6201.562500	-56.786285
6244.628906	-56.452438
6287.695312	-55.713463
6330.761719	-54.330685
6373.828125	-50.761074
6416.894531	-45.541840
6459.960938	-47.635780
6503.027344	-54.893780
6546.093750	-57.609764
6589.160156	-59.132244
6632.226562	-59.198349
6675.292969	-60.283157
6718.359375	-60.966736
6761.425781	-62.533699
6804.492188	-63.695839
6847.558594	-62.210911
6890.625000	-61.946480
6933.691406	-62.467888
6976.757812	-61.999184
7019.824219	-57.959713
7062.890625	-51.851036
7105.957031	-54.868858
7149.023438	-65.058990
7192.089844	-68.306969
7235.156250	-69.966385
7278.222656	-71.229538
7321.289062	-72.480118
7364.355469	-72.800819
7407.421875	-74.316147
7450.488281	-74.314552
7493.554688	-74.287102
7536.621094	-74.276070
7579.687500	-74.300186
7622.753906	-76.087563
7665.820312	-73.749290
7708.886719	-69.134262
7751.953125	-71.168823
7795.019531	-76.927322
7838.085938	-78.332458
7881.152344	-78.867058
7924.218750	-78.910591
7967.285156	-80.030037
8010.351562	-80.261871
8053.417969	-80.616188
8096.484375	-80.792084
8139.550781	-82.051758
8182.617188	-83.248291
8225.683594	-83.756264
8268.750000	-83.982605
8311.816406	-84.596237
8354.882812	-83.623322
8397.949219	-83.320648
8441.015625	-84.598465
8484.082031	-84.490326
8527.148438	-84.754478
8570.214844	-84.823792
8613.281250	-84.443642
8656.347656	-84.704216
8699.414062	-83.677986
8742.480469	-85.006592
8785.546875	-85.248650
8828.613281	-85.448914
8871.679688	-85.237488
8914.746094	-85.974899
8957.812500	-85.850525
9000.878906	-85.791061
9043.945312	-85.879776
9087.011719	-86.336784
9130.078125	-86.114677
9173.144531	-86.386818
9216.210938	-86.350716
9259.277344	-86.451996
9302.343750	-86.479843
9345.410156	-86.414574
9388.476562	-86.222946
9431.542969	-86.034210
9474.609375	-86.318985
9517.675781	-86.302177
9560.742188	-86.692673
9603.808594	-86.530045
9646.875000	-86.591438
9689.941406	-86.673836
9733.007812	-86.886009
9776.074219	-86.734497
9819.140625	-86.953415
9862.207031	-86.882820
9905.273438	-86.888206
9948.339844	-87.142708
9991.406250	-86.718956
10034.472656	-87.037689
10077.539062	-86.976776
10120.605469	-86.922264
10163.671875	-87.191895
10206.738281	-86.967903
10249.804688	-87.033905
10292.871094	-87.171745
10335.937500	-87.178696
10379.003906	-87.300972
10422.070312	-87.329681
10465.136719	-87.257500
10508.203125	-87.551285
10551.269531	-87.299301
10594.335938	-87.515808
10637.402344	-87.373909
10680.468750	-87.571785
10723.535156	-87.441254
10766.601562	-87.692230
10809.667969	-87.571983
10852.734375	-87.706520
10895.800781	-87.630753
10938.867188	-87.775200
10981.933594	-87.726639
11025.000000	-87.752045
11068.066406	-87.846039
11111.132812	-87.964752
11154.199219	-87.870972
11197.265625	-87.844109
11240.332031	-87.985649
11283.398438	-88.028023
11326.464844	-87.973198
11369.531250	-88.065193
11412.597656	-88.025444
11455.664062	-88.205460
11498.730469	-88.027359
11541.796875	-88.218979
11584.863281	-88.114937
11627.929688	-88.238091
11670.996094	-88.208466
11714.062500	-88.290459
11757.128906	-88.196671
11800.195312	-88.461243
11843.261719	-88.182594
11886.328125	-88.499626
11929.394531	-88.319687
11972.460938	-88.493103
12015.527344	-88.480865
12058.593750	-88.391129
12101.660156	-88.457443
12144.726562	-88.498146
12187.792969	-88.501503
12230.859375	-88.603516
12273.925781	-88.576508
12316.992188	-88.541092
12360.058594	-88.652214
12403.125000	-88.619156
12446.191406	-88.680382
12489.257812	-88.651665
12532.324219	-88.826286
12575.390625	-88.650429
12618.457031	-88.723061
12661.523438	-88.842323
12704.589844	-88.772484
12747.656250	-88.841682
12790.722656	-88.780037
12833.789062	-88.929916
12876.855469	-88.866714
12919.921875	-88.884331
12962.988281	-88.899567
13006.054688	-88.925560
13049.121094	-88.948967
13092.187500	-88.957443
13135.253906	-88.916039
13178.320312	-89.108810
13221.386719	-88.893669
13264.453125	-89.143074
13307.519531	-88.983398
13350.585938	-89.118759
13393.652344	-89.163109
13436.718750	-89.001144
13479.785156	-89.086861
13522.851562	-89.325180
13565.917969	-89.135094
13608.984375	-89.208778
13652.050781	-89.140541
13695.117188	-89.323753
13738.183594	-89.244385
13781.250000	-89.223305
13824.316406	-89.276863
13867.382812	-89.371155
13910.449219	-89.257095
